season,teams,superflex,mc_points,greedy_points,adp_points
2022,8,0,1671.58,1659.588,1484.806
2022,8,0,1722.0879999999997,1652.83,1267.65
2022,8,0,1710.746,1700.368,1440.878
2022,8,0,1715.876,1712.4279999999999,1491.17
2022,8,0,1692.738,1724.398,1542.566
2022,8,0,1672.0080000000003,1672.4479999999999,1669.176
2022,8,0,1698.2900000000004,1724.398,1641.176
2022,8,0,1740.2079999999999,1701.1399999999999,1619.568
2022,8,0,1696.178,1689.2479999999998,1615.696
2022,8,0,1690.1680000000001,1716.888,1308.5700000000002
2022,8,0,1697.7579999999998,1700.8579999999997,1616.746
2022,8,0,1702.158,1700.368,1633.37
2022,8,0,1680.386,1699.318,1625.84
2022,8,0,1674.988,1716.848,1616.7099999999998
2022,8,0,1728.5579999999998,1698.2999999999997,1654.106
2022,8,0,1735.636,1696.198,1589.7779999999998
2022,8,0,1716.4480000000003,1669.6899999999998,1301.5
2022,8,0,1666.418,1712.2979999999998,1138.6299999999999
2022,8,0,1672.7799999999997,1697.5279999999998,1287.0899999999997
2022,8,0,1728.5579999999998,1687.1799999999998,1498.5359999999998
2022,8,0,1688.748,1708.09,1505.01
2022,8,0,1687.708,1674.6399999999999,1518.938
2022,8,0,1707.068,1711.548,1289.06
2022,8,0,1677.998,1702.5679999999998,1318.33
2022,8,0,1727.0059999999999,1702.888,1286.14
2022,8,0,1674.708,1719.46,1446.8880000000001
2022,8,0,1721.328,1683.4799999999998,1631.4959999999999
2022,8,0,1736.7179999999996,1709.558,1598.498
2022,8,0,1661.8380000000002,1728.158,1277.08
2022,8,0,1715.0280000000002,1714.3199999999997,1477.528
2022,8,0,1728.5579999999998,1687.1799999999998,1602.1580000000001
2022,8,0,1726.8379999999997,1728.018,1645.42
2022,8,0,1678.4700000000003,1709.628,1519.9279999999999
2022,8,0,1699.5580000000002,1654.12,1621.4979999999998
2022,8,0,1728.2179999999998,1748.69,1615.3280000000002
